date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
2020-08-09,US,PA,,42,,,iso1:us#iso2:us-pa,123312,7374,163056,1927643,649,,N/A,,,N/A,null,Not Available,,646,,,,0.04,,5.9,0.17,0.95,0.1,,,,1,,,2,
2020-08-10,US,PA,,42,,,iso1:us#iso2:us-pa,124269,7378,164002,1951026,649,,N/A,,,N/A,null,Not Available,,957,,,,0.039,,5.9,0.17,0.95,0.1,,,,1,,,4,
2020-08-11,US,PA,,42,,,iso1:us#iso2:us-pa,125061,7404,165240,1978626,654,,N/A,,,N/A,null,Not Available,,792,,,,0.04,,5.9,0.17,0.95,0.1,,,,1,,,26,
2020-08-12,US,PA,,42,,,iso1:us#iso2:us-pa,125965,7447,166557,2010353,654,,N/A,,,N/A,null,Not Available,,904,,,,0.04,,6.1,0.17,0.95,0.1,,,,1,,,43,
2020-08-13,US,PA,,42,,,iso1:us#iso2:us-pa,126950,7474,167534,2039946,654,,N/A,,,N/A,null,Not Available,,985,,,,0.039,,6.3,0.16,0.95,0.1,,,,1,,,27,
2020-08-14,US,PA,,42,,,iso1:us#iso2:us-pa,127774,7513,168667,2067480,654,,N/A,,,N/A,null,Not Available,,824,,,,0.039,,6.4,0.16,0.95,0.1,,,,1,,,39,
2020-08-15,US,PA,,42,,,iso1:us#iso2:us-pa,128531,7525,169378,2088891,654,,N/A,,,N/A,null,Not Available,,757,,,,0.038,,6.5,0.16,0.95,0.1,,,,1,,,12,
2020-08-16,US,PA,,42,,,iso1:us#iso2:us-pa,129075,7532,170038,2107158,654,,N/A,,,N/A,null,Not Available,,544,,,,0.037,,6.4,0.16,0.95,0.1,,,,1,,,7,
2020-08-17,US,PA,,42,,,iso1:us#iso2:us-pa,129686,7535,170802,2126796,654,,N/A,,,N/A,null,Not Available,,611,,,,0.037,,6,0.17,0.95,0.1,,,,1,,,3,
2020-08-18,US,PA,,42,,,iso1:us#iso2:us-pa,130286,7561,171748,2150817,654,,N/A,,,N/A,null,Not Available,,600,,,,0.036,,5.8,0.18,0.95,0.1,,,,1,,,26,
2020-08-19,US,PA,,42,,,iso1:us#iso2:us-pa,130950,7593,172674,2178995,654,,N/A,,,N/A,null,Not Available,,664,,,,0.035,,5.6,0.18,0.96,0.1,,,,1,,,32,
2020-08-20,US,PA,,42,,,iso1:us#iso2:us-pa,131736,7606,173648,2208849,654,,N/A,,,N/A,null,Not Available,,786,,,,0.035,,5.3,0.19,0.96,0.1,,,,1,,,13,
2020-08-21,US,PA,,42,,,iso1:us#iso2:us-pa,132461,7629,174508,2237167,654,,N/A,,,N/A,null,Not Available,,725,,,,0.033,,5.2,0.2,0.97,0.1,,,,1,,,23,
2020-08-22,US,PA,,42,,,iso1:us#iso2:us-pa,133160,7643,175321,2262260,654,,N/A,,,N/A,null,Not Available,,699,,,,0.033,,5.2,0.2,0.97,0.1,,,,1,,,14,
2020-08-23,US,PA,,42,,,iso1:us#iso2:us-pa,133679,7643,175900,2279714,654,,N/A,,,N/A,null,Not Available,,519,,,,0.033,,5.1,0.2,0.98,0.1,,,,1,,,0,
2020-08-24,US,PA,,42,,,iso1:us#iso2:us-pa,134246,7642,176576,2298196,654,,N/A,,,N/A,null,Not Available,,567,,,,0.033,,5.1,0.2,0.99,0.1,,,,1,,,0,
2020-08-25,US,PA,,42,,,iso1:us#iso2:us-pa,134803,7666,177331,2322912,654,,N/A,,,N/A,null,Not Available,,557,,,,0.031,,5,0.2,1,0.1,,,,1,,,24,
2020-08-26,US,PA,,42,,,iso1:us#iso2:us-pa,135323,7691,178426,2354755,654,,N/A,,,N/A,null,Not Available,,520,,,,0.032,,4.9,0.21,1.01,0.1,,,,1,,,25,
2020-08-27,US,PA,,42,,,iso1:us#iso2:us-pa,135958,7702,179453,2387755,654,,N/A,,,N/A,null,Not Available,,635,,,,0.031,,4.7,0.22,1.02,0.1,,,,1,,,11,
2020-08-28,US,PA,,42,,,iso1:us#iso2:us-pa,136824,7722,180507,2416916,654,,N/A,,,N/A,null,Not Available,,866,,,,0.032,,4.9,0.21,1.02,0.1,,,,1,,,20,
2020-08-29,US,PA,,42,,,iso1:us#iso2:us-pa,137576,7740,181449,2441583,654,,N/A,,,N/A,null,Not Available,,752,,,,0.033,,4.9,0.21,1.03,0.1,,,,1,,,18,
2020-08-30,US,PA,,42,,,iso1:us#iso2:us-pa,138137,7742,182130,2460662,654,,N/A,,,N/A,null,Not Available,,561,,,,0.033,,5,0.21,1.04,0.1,,,,1,,,2,
2020-08-31,US,PA,,42,,,iso1:us#iso2:us-pa,138840,7743,183010,2477456,654,,N/A,,,N/A,null,Not Available,,703,,,,0.035,,5.1,0.2,1.04,0.1,,,,1,,,1,
2020-09-01,US,PA,,42,,,iso1:us#iso2:us-pa,139591,7764,184268,2504518,654,,23634,1210,,3376,2551,188,,751,,,,0.037,,5.3,0.19,1.04,0.1,0.19,,0.76,1,,,21,
2020-09-02,US,PA,,42,,,iso1:us#iso2:us-pa,140577,7792,185612,2533183,654,,23994,1153,,3415,2553,169,,986,,,,0.039,,5.9,0.17,1.05,0.1,0.16,,0.75,1,,,28,
2020-09-03,US,PA,,42,,,iso1:us#iso2:us-pa,141578,7805,186831,2562397,654,,23726,1129,,3437,2755,155,,1001,,,,0.041,,6.3,0.16,1.05,0.1,0.19,,0.8,1,,,13,
2020-09-04,US,PA,,42,,,iso1:us#iso2:us-pa,142537,7821,187932,2589190,654,,23324,1095,,3488,2807,151,,959,,,,0.041,,6.4,0.16,1.05,0.1,0.18,,0.8,1,,,16,
2020-09-05,US,PA,,42,,,iso1:us#iso2:us-pa,143301,7837,188902,2615227,654,,22441,1041,,3439,2736,140,,764,,,,0.041,,6.4,0.16,1.04,0.1,0.17,,0.8,1,,,16,
2020-09-06,US,PA,,42,,,iso1:us#iso2:us-pa,143902,7837,189732,2635798,654,,21432,985,,3432,2637,135,,601,,,,0.042,,6.4,0.16,1.04,0.1,0.15,,0.77,1,,,0,
2020-09-07,US,PA,,42,,,iso1:us#iso2:us-pa,144658,7855,190453,2650207,654,,21074,1001,,3421,2580,139,,756,,,,0.041,,6.5,0.16,1.04,0.1,0.14,,0.75,1,,,18,
2020-09-08,US,PA,,42,,,iso1:us#iso2:us-pa,145191,7862,191173,2665072,654,,22200,1073,,3465,2672,158,,533,,,,0.041,,6.2,0.16,1.04,0.1,0.17,,0.77,1,,,7,
2020-09-09,US,PA,,42,,,iso1:us#iso2:us-pa,146058,7882,192257,2689753,654,,23276,1120,,3473,2797,149,,867,,,,0.041,,6.1,0.17,1.03,0.1,0.18,,0.81,1,,,20,
2020-09-10,US,PA,,42,,,iso1:us#iso2:us-pa,146735,7894,193451,2720688,654,,23835,1061,,3444,2853,151,,677,,,,0.04,,5.8,0.18,1.03,0.1,0.2,,0.83,1,,,12,
2020-09-11,US,PA,,42,,,iso1:us#iso2:us-pa,147744,7914,194502,2751460,654,,23889,1055,,3433,2867,150,,1009,,,,0.039,,5.8,0.18,1.03,0.1,0.21,,0.84,1,,,20,
2020-09-12,US,PA,,42,,,iso1:us#iso2:us-pa,148635,7915,195542,2781330,654,,23369,1046,,3441,2767,148,,891,,,,0.038,,6,0.17,1.02,0.1,0.18,,0.8,1,,,1,
2020-09-13,US,PA,,42,,,iso1:us#iso2:us-pa,148635,7915,196490,2807323,654,,22059,961,,3430,2699,142,,0,,,,0.038,,5.3,0.19,1.02,0.1,0.16,,0.79,1,,,0,
2020-09-14,US,PA,,42,,,iso1:us#iso2:us-pa,150044,7940,197344,2828536,654,,22928,1053,,3413,2654,144,,1409,,,,0.037,,6,0.17,1.02,0.1,0.16,,0.78,1,,,25,
2020-09-15,US,PA,,42,,,iso1:us#iso2:us-pa,151081,7945,198361,2852933,654,,24235,1125,,3464,2855,144,,1037,,,,0.037,,6.6,0.16,1.02,0.1,0.19,,0.82,1,,,5,
2020-09-16,US,PA,,42,,,iso1:us#iso2:us-pa,151889,7963,199466,2885240,654,,24360,1099,,3479,2841,130,,808,,,,0.036,,6.5,0.16,1.02,0.1,0.17,,0.82,1,,,18,
2020-09-17,US,PA,,42,,,iso1:us#iso2:us-pa,152813,7978,200442,2916428,654,,24095,989,,3472,2781,131,,924,,,,0.034,,6.8,0.15,1.02,0.1,0.16,,0.8,1,,,15,
2020-09-18,US,PA,,42,,,iso1:us#iso2:us-pa,153560,8006,201601,2951335,654,,24174,979,,3279,2597,124,,747,,,,0.034,,6.5,0.16,1.02,0.1,0.15,,0.79,1,,,28,
2020-09-19,US,PA,,42,,,iso1:us#iso2:us-pa,154261,8028,202537,2983492,654,,23532,865,,3348,2669,125,,701,,,,0.033,,6.3,0.16,1.03,0.1,0.16,,0.8,1,,,22,
2020-09-20,US,PA,,42,,,iso1:us#iso2:us-pa,154924,8049,203207,3005688,654,,22780,832,,3354,2620,126,,663,,,,0.033,,7,0.15,1.03,0.1,0.15,,0.78,1,,,21,
2020-09-21,US,PA,,42,,,iso1:us#iso2:us-pa,155729,8080,203907,3023921,654,,23258,938,,3359,2689,127,,805,,,,0.032,,6.3,0.16,1.03,0.1,0.16,,0.8,1,,,31,
2020-09-22,US,PA,,42,,,iso1:us#iso2:us-pa,156512,8099,204904,3051632,654,,24681,993,,3376,2787,129,,783,,,,0.032,,6.1,0.17,1.04,0.1,0.18,,0.83,1,,,19,
2020-09-23,US,PA,,42,,,iso1:us#iso2:us-pa,157373,8137,206111,3087315,654,,25012,1025,,3396,2829,135,,861,,,,0.032,,6.1,0.17,1.05,0.1,0.19,,0.83,1,,,38,
2020-09-24,US,PA,,42,,,iso1:us#iso2:us-pa,158221,8150,207385,3124771,1508,,25165,1028,,3406,2839,140,,848,,,,0.032,,6,0.39,1.05,0.1,0.2,,0.83,1,,,13,
2020-09-25,US,PA,,42,,,iso1:us#iso2:us-pa,159051,8157,208612,3160298,1508,,25108,1006,,3390,2885,142,,830,,,,0.032,,6.1,0.38,1.06,0.1,0.22,,0.85,1,,,7,
2020-09-26,US,PA,,42,,,iso1:us#iso2:us-pa,159937,8177,209695,3189710,1508,,24127,898,,3422,2774,144,,886,,,,0.034,,6.3,0.37,1.07,0.1,0.18,,0.81,1,,,20,
2020-09-27,US,PA,,42,,,iso1:us#iso2:us-pa,160770,8180,210627,3212137,1508,,23162,884,,3395,2665,161,,833,,,,0.035,,6.5,0.36,1.08,0.1,0.18,,0.78,1,,,3,
2020-09-28,US,PA,,42,,,iso1:us#iso2:us-pa,161642,8181,211502,3230604,1508,,23849,947,,3432,2718,176,,872,,,,0.035,,6.6,0.36,1.09,0.1,0.2,,0.79,1,,,1,
2020-09-29,US,PA,,42,,,iso1:us#iso2:us-pa,163219,8196,212694,3257423,1508,,25114,1116,,3433,2870,172,,,,,,0.036,,,,1.1,0.1,0.23,,0.84,1,,,15,
2020-09-30,US,PA,,42,,,iso1:us#iso2:us-pa,164135,8216,214070,3292483,1508,,25378,1076,,3388,2895,162,,916,,,,0.037,,6.8,0.35,1.11,0.1,0.25,,0.85,1,,,20,
2020-10-01,US,PA,,42,,,iso1:us#iso2:us-pa,165078,8234,215547,3330917,1508,,25446,1076,,3461,2870,166,,943,,,,0.038,,6.9,0.34,1.11,0.1,0.22,,0.83,1,,,18,
2020-10-02,US,PA,,42,,,iso1:us#iso2:us-pa,166270,8254,216971,3368963,1508,,25126,1100,,3436,2860,160,,1192,,,,0.039,,7.3,0.32,1.12,0.1,0.22,,0.83,1,,,20,
2020-10-03,US,PA,,42,,,iso1:us#iso2:us-pa,166270,8271,218128,3398766,1508,,24238,1098,,3406,2776,154,,0,,,,0.039,,6.2,0.38,1.13,0.1,0.2,,0.82,1,,,17,
2020-10-04,US,PA,,42,,,iso1:us#iso2:us-pa,168161,8287,219020,3420125,1508,,22836,1008,,3218,2537,154,,1891,,,,0.039,,7.6,0.31,1.13,0.1,0.18,,0.79,1,,,16,
2020-10-05,US,PA,,42,,,iso1:us#iso2:us-pa,169126,8300,220068,3441835,1508,,23363,1052,,3219,2540,164,,965,,,,0.039,,7.7,0.31,1.14,0.1,0.19,,0.79,1,,,13,
2020-10-06,US,PA,,42,,,iso1:us#iso2:us-pa,170255,8318,221416,3474549,1508,,24681,1117,,3244,2672,179,,1129,,,,0.039,,7.9,0.3,1.14,0.1,0.24,,0.82,1,,,18,
2020-10-07,US,PA,,42,,,iso1:us#iso2:us-pa,171550,8347,223056,3515649,1508,,24960,1195,,3252,2748,173,,1295,,,,0.039,,8.3,0.28,1.14,0.1,0.26,,0.85,2,,,29,
2020-10-08,US,PA,,42,,,iso1:us#iso2:us-pa,172971,8372,224791,3559149,1508,,25344,1231,,3291,2768,189,,1421,,,,0.039,,8.8,0.27,1.14,0.1,0.27,,0.84,2,,,25,
2020-10-09,US,PA,,42,,,iso1:us#iso2:us-pa,174352,8387,226622,3599795,1508,,25218,1276,,3384,2834,195,,1381,,,,0.04,,9,0.26,1.14,0.1,0.26,,0.84,2,,,15,
2020-10-10,US,PA,,42,,,iso1:us#iso2:us-pa,175804,8421,228112,3635573,1508,,24350,1142,,3252,2688,209,,1452,,,,0.04,,10.6,0.22,1.14,0.1,0.27,,0.83,2,,,34,
2020-10-11,US,PA,,42,,,iso1:us#iso2:us-pa,176820,8426,229440,3662719,1508,,23814,1162,,3267,2598,202,,1016,,,,0.041,,9.7,0.24,1.14,0.1,0.23,,0.8,2,,,5,
2020-10-12,US,PA,,42,,,iso1:us#iso2:us-pa,177844,8444,230428,3681090,1508,,23289,1179,,3301,2618,208,,1024,,,,0.042,,9.7,0.24,1.14,0.1,0.23,,0.79,2,,,18,
2020-10-13,US,PA,,42,,,iso1:us#iso2:us-pa,179673,8458,231763,3712286,1508,,24575,1283,,3320,2732,233,,1829,,,,0.042,,10.5,0.22,1.14,0.1,0.28,,0.82,2,,,14,
2020-10-14,US,PA,,42,,,iso1:us#iso2:us-pa,180956,8481,233637,3753237,1508,,25029,1257,,3322,2773,225,,1283,,,,0.043,,10.5,0.22,1.14,0.1,0.29,,0.83,2,,,23,
2020-10-15,US,PA,,42,,,iso1:us#iso2:us-pa,182502,8496,235659,3797667,1508,,25222,1270,,3316,2745,236,,1546,,,,0.044,,10.6,0.22,1.14,0.1,0.29,,0.83,2,,,15,
2020-10-16,US,PA,,42,,,iso1:us#iso2:us-pa,184185,8524,237555,3838028,1508,,26604,1334,,3502,2956,252,,1683,,,,0.044,,11,0.21,1.14,0.1,0.32,,0.84,2,,,28,
2020-10-17,US,PA,,42,,,iso1:us#iso2:us-pa,185670,8535,239389,3872873,1508,,26573,1396,,3629,2986,264,,1485,,,,0.045,,11,0.21,1.14,0.1,0.29,,0.82,2,,,11,
2020-10-18,US,PA,,42,,,iso1:us#iso2:us-pa,186772,8555,240745,3897964,1508,,25752,1355,,3595,2922,278,,1102,,,,0.046,,11.1,0.21,1.14,0.1,0.29,,0.81,2,,,20,
2020-10-19,US,PA,,42,,,iso1:us#iso2:us-pa,188442,8562,241835,3914424,1508,,25451,1360,,3671,2912,283,,1670,,,,0.047,,11.8,0.2,1.14,0.1,0.27,,0.79,2,,,7,
2020-10-20,US,PA,,42,,,iso1:us#iso2:us-pa,189988,8591,243781,3946698,1508,,26394,1450,,3660,2973,287,,1546,,,,0.049,,11.5,0.2,1.14,0.1,0.29,,0.81,2,,,29,
2020-10-21,US,PA,,42,,,iso1:us#iso2:us-pa,191347,8629,245922,3986439,1508,,27835,1487,,3751,3069,296,,1359,,,,0.05,,11.6,0.2,1.15,0.1,0.3,,0.82,2,,,38,
2020-10-22,US,PA,,42,,,iso1:us#iso2:us-pa,193401,8660,248456,4033133,1508,,27928,1564,,3732,3033,291,,2054,,,,0.052,,12.2,0.19,1.15,0.1,0.29,,0.81,2,,,31,
2020-10-23,US,PA,,42,,,iso1:us#iso2:us-pa,195659,8695,250935,4081270,1508,,27725,1569,,3711,3063,318,,2258,,,,0.052,,12.8,0.18,1.15,0.1,0.33,,0.83,2,,,35,
2020-10-24,US,PA,,42,,,iso1:us#iso2:us-pa,197370,8721,253261,4117806,1508,,26814,1645,,3684,2992,340,,1711,,,,0.054,,13.1,0.18,1.16,0.1,0.33,,0.81,2,,,26,
2020-10-25,US,PA,,42,,,iso1:us#iso2:us-pa,198756,8730,255395,4147076,1508,,26173,1621,,3649,2921,337,,1386,,,,0.056,,13.4,0.18,1.16,0.1,0.32,,0.8,2,,,9,
2020-10-26,US,PA,,42,,,iso1:us#iso2:us-pa,201248,8737,257510,4172656,1508,,24015,1644,,3769,2832,346,,2492,,,,0.057,,14.3,0.16,1.17,0.1,0.27,,0.75,2,,,7,
2020-10-27,US,PA,,42,,,iso1:us#iso2:us-pa,203520,8760,260133,4207351,1508,,25051,1791,,3818,2965,369,,2272,,,,0.059,,15.1,0.16,1.18,0.1,0.3,,0.78,2,,,23,
2020-10-28,US,PA,,42,,,iso1:us#iso2:us-pa,205852,8789,262852,4254413,1508,,27612,1846,,3795,3037,364,,2332,,,,0.059,,16.2,0.15,1.18,0.1,0.32,,0.8,2,,,29,
2020-10-29,US,PA,,42,,,iso1:us#iso2:us-pa,208087,8828,265944,4303209,1508,,27754,1796,,3810,3028,373,,2235,,,,0.061,,16.4,0.14,1.19,0.1,0.32,,0.79,2,,,39,
2020-10-30,US,PA,,42,,,iso1:us#iso2:us-pa,210586,8860,268557,4346236,1508,,27825,1799,,3825,3033,360,,2499,,,,0.062,,16.7,0.14,1.2,0.1,0.31,,0.79,2,,,32,
2020-10-31,US,PA,,42,,,iso1:us#iso2:us-pa,212816,8883,271293,4384565,1508,,26707,1805,,3809,2925,375,,2230,,,,0.063,,17.2,0.14,1.2,0.1,0.3,,0.77,2,,,23,
2020-11-01,US,PA,,42,,,iso1:us#iso2:us-pa,214500,8888,273774,4414837,1508,,25998,1784,,3801,2855,389,,1684,,,,0.064,,17.6,0.13,1.21,0.1,0.29,,0.75,2,,,5,
2020-11-02,US,PA,,42,,,iso1:us#iso2:us-pa,217243,8893,276416,4442814,1508,,24261,1931,,3815,2862,434,,2743,,,,0.065,,17.8,0.13,1.22,0.1,0.31,,0.75,2,,,5,
2020-11-03,US,PA,,42,,,iso1:us#iso2:us-pa,220111,8926,279511,4480594,1508,,24674,2053,,3814,3008,429,,2868,,,,0.066,,18.5,0.13,1.23,0.1,0.35,,0.79,2,,,33,
2020-11-04,US,PA,,42,,,iso1:us#iso2:us-pa,222883,8967,283199,4530219,1508,,27145,2177,,3797,3028,476,,2772,,,,0.069,,19,0.12,1.23,0.1,0.38,,0.8,2,,,41,
2020-11-05,US,PA,,42,,,iso1:us#iso2:us-pa,225698,9009,287450,4582022,1508,,28306,2254,,3859,3113,469,,2815,,,,0.072,,19.7,0.12,1.24,0.1,0.39,,0.81,2,,,42,
2020-11-06,US,PA,,42,,,iso1:us#iso2:us-pa,229346,9052,291536,4631364,1508,,28219,2312,,3865,3085,474,,3648,,,,0.075,,20.9,0.11,1.24,0.1,0.38,,0.8,2,,,43,
2020-11-07,US,PA,,42,,,iso1:us#iso2:us-pa,232582,9089,295858,4680413,1508,,27660,2434,,3857,3009,496,,3236,,,,0.077,,22.1,0.11,1.25,0.1,0.37,,0.78,2,,,37,
2020-11-08,US,PA,,42,,,iso1:us#iso2:us-pa,235162,9093,299527,4712132,1508,,26938,2457,,3858,3003,514,,2580,,,,0.08,,23.1,0.1,1.25,0.1,0.38,,0.78,2,,,4,
2020-11-09,US,PA,,42,,,iso1:us#iso2:us-pa,239724,9098,303624,4741808,1508,,24771,2635,,3836,2991,550,,4562,,,,0.083,,25.1,0.09,1.25,0.1,0.39,,0.78,3,,,5,
2020-11-10,US,PA,,42,,,iso1:us#iso2:us-pa,244046,9156,309226,4786721,1508,,26622,2826,,3834,3190,569,,4322,,,,0.088,,26.7,0.09,1.25,0.1,0.47,,0.83,3,,,58,
2020-11-11,US,PA,,42,,,iso1:us#iso2:us-pa,248144,9217,315459,4840380,1508,,28402,3033,,3860,3191,595,,4098,,,,0.094,,28.2,0.08,1.24,0.1,0.47,,0.83,3,,,61,
2020-11-12,US,PA,,42,,,iso1:us#iso2:us-pa,254167,9272,321946,4898126,1508,,29127,3067,,3887,3167,624,,6023,,,,0.098,,31.8,0.07,1.24,0.1,0.46,,0.81,3,,,55,
2020-11-13,US,PA,,42,,,iso1:us#iso2:us-pa,260001,9306,329095,4956915,1508,,28737,3232,,3871,3132,657,,5834,,,,0.103,,34.2,0.07,1.23,0.1,0.47,,0.81,3,,,34,
2020-11-14,US,PA,,42,,,iso1:us#iso2:us-pa,264396,9353,335541,5008294,1508,,27936,3310,,3884,3090,693,,4395,,,,0.108,,35.5,0.07,1.22,0.1,0.47,,0.8,3,,,47,
2020-11-15,US,PA,,42,,,iso1:us#iso2:us-pa,269043,9385,341272,5052818,1508,,26712,3426,,3855,3039,750,,4647,,,,0.109,,37.8,0.06,1.21,0.1,0.48,,0.79,3,,,32,
2020-11-16,US,PA,,42,,,iso1:us#iso2:us-pa,275257,9399,346467,5088011,1508,,25317,3628,,3859,3060,787,,6214,,,,0.11,,39.7,0.06,1.2,0.1,0.5,,0.79,3,,,14,
2020-11-17,US,PA,,42,,,iso1:us#iso2:us-pa,280978,9433,353874,5143861,1508,,25361,3802,,3829,3106,797,,5721,,,,0.111,,41.2,0.06,1.19,0.1,0.52,,0.81,3,,,34,
2020-11-18,US,PA,,42,,,iso1:us#iso2:us-pa,287464,9541,362144,5205019,1508,,28927,4094,,3882,3212,832,,6486,,,,0.113,,43.9,0.05,1.18,0.1,0.55,,0.83,3,,,108,
2020-11-19,US,PA,,42,,,iso1:us#iso2:us-pa,294345,9643,369902,5269575,1508,,28728,4235,,3874,3212,877,,6881,,,,0.114,,44.8,0.05,1.17,0.1,0.57,,0.83,3,,,102,
2020-11-20,US,PA,,42,,,iso1:us#iso2:us-pa,301373,9748,377437,5337555,1508,,28311,4456,,3897,3213,914,,7028,,,,0.113,,46.2,0.05,1.16,0.1,0.57,,0.82,3,,,105,
2020-11-21,US,PA,,42,,,iso1:us#iso2:us-pa,307247,9862,385082,5398136,1508,,27451,4522,,3907,3168,937,,5874,,,,0.113,,47.8,0.05,1.15,0.1,0.56,,0.81,3,,,114,
2020-11-22,US,PA,,42,,,iso1:us#iso2:us-pa,313788,9901,391657,5448403,1508,,26822,4690,,3889,3096,949,,6541,,,,0.113,,49.9,0.05,1.15,0.1,0.54,,0.8,3,,,39,
2020-11-23,US,PA,,42,,,iso1:us#iso2:us-pa,320250,9932,398721,5494126,1508,,24288,4705,,3894,3104,1012,,6462,,,,0.114,,50.2,0.05,1.14,0.1,0.56,,0.8,3,,,31,
2020-11-24,US,PA,,42,,,iso1:us#iso2:us-pa,326615,10014,407022,5547275,1508,,25396,5003,,3924,3248,1030,,6365,,,,0.116,,50.9,0.05,1.14,0.1,0.6,,0.83,3,,,82,
2020-11-25,US,PA,,42,,,iso1:us#iso2:us-pa,333571,10162,416757,5614587,1508,,28145,5138,,3942,3247,1055,,6956,,,,0.118,,51.5,0.05,1.13,0.1,0.6,,0.82,3,,,148,
2020-11-26,US,PA,,42,,,iso1:us#iso2:us-pa,340998,10271,423943,5666029,1508,,26856,5081,,3890,3148,1044,,7427,,,,0.12,,52.1,0.05,1.13,0.1,0.58,,0.81,3,,,109,
2020-11-27,US,PA,,42,,,iso1:us#iso2:us-pa,349360,10295,431854,5724546,1508,,26505,5198,,3888,3113,1083,,8362,,,,0.123,,53.5,0.04,1.13,0.1,0.58,,0.8,3,,,24,
2020-11-28,US,PA,,42,,,iso1:us#iso2:us-pa,356243,10337,439294,5770889,1508,,26718,5423,,3889,3148,1097,,6883,,,,0.127,,54.7,0.04,1.13,0.1,0.6,,0.81,3,,,42,
2020-11-29,US,PA,,42,,,iso1:us#iso2:us-pa,361387,10406,445896,5812841,1508,,26993,5625,,3913,3161,1138,,5144,,,,0.13,,53.1,0.04,1.13,0.1,0.6,,0.81,3,,,69,
2020-11-30,US,PA,,42,,,iso1:us#iso2:us-pa,366971,10439,453609,5851499,1508,,24527,5685,,3921,3240,1169,,5584,,,,0.133,,52.1,0.05,1.13,0.1,0.63,,0.83,3,,,33,
2020-12-01,US,PA,,42,,,iso1:us#iso2:us-pa,372688,10614,464643,5907567,1508,,24997,5813,,3874,3237,1180,,5717,,,,0.138,,51.4,0.05,1.13,0.1,0.65,,0.84,3,,,175,
2020-12-02,US,PA,,42,,,iso1:us#iso2:us-pa,381342,10803,476991,5973690,1508,,29019,6326,,4005,3380,1232,,8654,,,,0.144,,53.3,0.04,1.13,0.1,0.66,,0.84,3,,,189,
2020-12-03,US,PA,,42,,,iso1:us#iso2:us-pa,392610,11008,489170,6042213,1508,,29082,6331,,4038,3402,1220,,11268,,,,0.148,,57.6,0.04,1.12,0.1,0.66,,0.84,3,,,205,
2020-12-04,US,PA,,42,,,iso1:us#iso2:us-pa,404699,11189,500280,6108348,1508,,28872,6307,,4045,3368,1218,,12089,,,,0.151,,61.8,0.04,1.12,0.1,0.64,,0.83,3,,,181,
2020-12-05,US,PA,,42,,,iso1:us#iso2:us-pa,416073,11331,509820,6163605,1508,,28554,6396,,4088,3364,1226,,11374,,,,0.152,,66.8,0.04,1.11,0.1,0.63,,0.82,3,,,142,
2020-12-06,US,PA,,42,,,iso1:us#iso2:us-pa,423828,11389,518960,6211838,1508,,28000,6448,,4082,3253,1225,,7755,,,,0.155,,69.7,0.03,1.1,0.1,0.6,,0.8,3,,,58,
2020-12-07,US,PA,,42,,,iso1:us#iso2:us-pa,432410,11431,527835,6256579,1508,,25206,6450,,4087,3283,1237,,8582,,,,0.155,,73,0.03,1.09,0.1,0.61,,0.8,3,,,42,
2020-12-08,US,PA,,42,,,iso1:us#iso2:us-pa,442528,11592,539799,6314995,1508,,26417,6684,,3965,3327,1309,,10118,,,,0.156,,77.9,0.03,1.08,0.1,0.67,,0.84,5,,,161,
2020-12-09,US,PA,,42,,,iso1:us#iso2:us-pa,451154,11839,553690,6383371,1508,,29858,7108,,4036,3352,1362,,8626,,,,0.158,,77.9,0.03,1.07,0.1,0.67,,0.83,5,,,247,
2020-12-10,US,PA,,42,,,iso1:us#iso2:us-pa,463175,12066,566821,6462198,1508,,29686,7150,,4075,3333,1389,,12021,,,,0.156,,78.7,0.03,1.05,0.1,0.65,,0.82,5,,,227,
2020-09-25,US,PA,,42,,,iso1:us#iso2:us-pa,159051,8157,208612,3160298,1508,,25108,1006,,3390,2885,142,,830,,,,0.032,,6.1,0.38,1.06,0.1,0.22,,0.85,1,,,7,
2020-09-26,US,PA,,42,,,iso1:us#iso2:us-pa,159937,8177,209695,3189710,1508,,24127,898,,3422,2774,144,,886,,,,0.034,,6.3,0.37,1.07,0.1,0.18,,0.81,1,,,20,
2020-09-27,US,PA,,42,,,iso1:us#iso2:us-pa,160770,8180,210627,3212137,1508,,23162,884,,3395,2665,161,,833,,,,0.035,,6.5,0.36,1.08,0.1,0.18,,0.78,1,,,3,
